实体1,实体2,关系
既然说了两个方向，分别介绍一些吧,"- 方差
    - 移除低方差特征
        - 移除低方差特征是指移除那些方差低于某个阈值，即特征值变动幅度小于某个范围的特征，这一部分特征的区分度较差，我们进行移除
    - 考虑有值数据中的占比，异常数据的占比，正常范围数据过少的数据也可以移除
- 相关性
    - 单变量特征选择：单变量特征是基于单一变量和目标y之间的关系，通过计算某个能够度量特征重要性的指标，然后选出重要性Top的K个特征。但是这种方式有一个缺点就是忽略了特征组合的情况
        - 皮尔森相关系数:![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8n46pedyoj303e019t8i.jpg)
        - Fisher得分:![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8n4jajze8j31hc0u0dt2.jpg)
        - 假设检验
            - 卡方检验
            - ANOVA
        - 熵检验
            - 互信息熵
                - 度量两个变量之间的相关性,互信息越大表明两个变量相关性越高;互信息为0,两个变量越独立
            - KL散度
            - 相对熵
        ",提问->答案
数据预处理,缺失值处理,主科目到一级科目
缺失值处理,是不是一定需要对缺失值处理？,知识点->提问
是不是一定需要对缺失值处理？,"当缺失值占比在可接受的范围以内的时候才需要进行填充，如果缺失值大于50%以上的时候，可以选择进行二分化，如果缺失值大于80%可以完整删除该列而不是强行去填充
",提问->答案
缺失值处理,直接填充方法有哪些？,知识点->提问
直接填充方法有哪些？,"- 均值
- 中位数
- 众数
- 分位数
",提问->答案
缺失值处理,模型插值方法有哪些？及方法的问题,知识点->提问
模型插值方法有哪些？及方法的问题,"- 有效性存疑，取决于特征列数
    - 生成的插值来源于其他列的特征，是不是意味着插值的结果已经是和其他列的组合高相关
",提问->答案
缺失值处理,如何直接离散化？,知识点->提问
如何直接离散化？,"- 离散特征新增缺失的category
",提问->答案
缺失值处理,hold位填充方法有哪些？,知识点->提问
hold位填充方法有哪些？,"把全部结果都embedding化，对空值或者缺失值按照一定规则生成若干个hold位，以hold位的向量结果作为缺失值的结果
    - 可以参考YouTube中的新商品向量生成逻辑
    - bert中的\[UNK]向量，\[unused]向量
    
",提问->答案
缺失值处理,怎么理解分布补全？,知识点->提问
怎么理解分布补全？,"如果我们能在原始数据上发现明显规律，比如整体数据满足高维多元高斯分布，则可以通过未知列补全缺失列的值
",提问->答案
缺失值处理,random方法,知识点->提问
random方法,"在缺失量特别少(通常认为小于1%)的时候，可以随机生成
",提问->答案
缺失值处理,总结,知识点->提问
总结,"- 实际机器学习工程中，直接删除、众数填充和直接离散化方法用的最多
    - 快速
    - 对原始数据的前提假设最少，也不会影响到非缺失列
- 在深度学习中，hold位填充方法用的最多
    - 在大量数据的拟合条件下，能保证这些未知数据处的向量也能得到收敛
    - 而且通过随机构造的特性，保证了缺失处的\[UNK]向量，\[unused]向量的通配性",提问->答案
机器学习,决策树,主科目到一级科目
决策树,常见决策树,知识点->提问
常见决策树,"| 模型      | ID3      |     C4.5 |   CART   |
| :--------| :-------- | --------:| :------: |
| 结构   | 多叉树    |   多叉树 |  二叉树  |
| 特征选择   | 信息增益    |   信息增益率 |  Gini系数/均方差  |
| 连续值处理   | 不支持    |   支持 |  支持  |
| 缺失值处理   | 不支持    |   支持 |  支持  |
| 枝剪   | 不支持    |   支持 |  支持  |
",提问->答案
决策树,简述决策树构建过程,知识点->提问
简述决策树构建过程,"1. 构建根节点，将所有训练数据都放在根节点
2. 选择一个最优特征，按照这一特征将训练数据集分割成子集，使得各个子集有一个在当前条件下最好的分类
3. 如果子集非空，或子集容量未小于最少数量，递归1，2步骤，直到所有训练数据子集都被正确分类或没有合适的特征为止
",提问->答案
决策树,详述信息熵计算方法及存在问题,知识点->提问
详述信息熵计算方法及存在问题,"![](https://tva1.sinaimg.cn/large/006y8mN6gy1g925k1ns0yj305y018glg.jpg)
其中，D为数据全集，C为不同因变量类别k上的子集(传统意义上的y的种类)
",提问->答案
决策树,详述信息增益计算方法,知识点->提问
详述信息增益计算方法,"条件信息熵：在特征A给定的条件下对数据集D分类的不确定性：
![](https://tva1.sinaimg.cn/large/006y8mN6gy1g925puuv1cj308p01kdfr.jpg)
信息增益：知道特征A的信息而使类D的信息的不确定减少的程度（对称）：
I(D,A) = H(D)-H(D/A)
简而言之，就是在特征A下找到最合适的切分，使得在该切分下信息量的变换最大，更加稳定；但是这个有一个问题，对于类别天生较多的特征，模型更容易选中，因为特征类别较多，切分后的信息增益天生更大，更容易满足我们的原始假设
",提问->答案
决策树,详述信息增益率计算方法,知识点->提问
详述信息增益率计算方法,"在信息增益计算的基础不变的情况下得到的：I(D,A) = H(D)-H(D/A)，同时还考虑了![](https://tva1.sinaimg.cn/large/006y8mN6gy1g925yr9z1vj306601f745.jpg),用划分的子集数上的熵来平衡了分类数过多的问题。
信息增益率：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g9260xx5wej304b017q2r.jpg)
",提问->答案
决策树,解释Gini系数,知识点->提问
解释Gini系数,"Gini系数二分情况下：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g92705elt9j308000q744.jpg)
对于决策树样本D来说，![](https://tva1.sinaimg.cn/large/006y8mN6gy1g9273px3t2j30a4018wee.jpg)
对于样本D，如果根据特征A的某个值，把D分成D1和D2，则在特征A的条件下，D的基尼系数为：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g9274yiwhoj30iq02wmx8.jpg)
",提问->答案
决策树,ID3存在的问题,知识点->提问
ID3存在的问题,"缺点：
- 存在偏向于选择取值较多的特征问题
- 连续值不支持
- 缺失值不支持
- 无法枝剪
",提问->答案
决策树,C4.5相对于ID3的改进点,知识点->提问
C4.5相对于ID3的改进点,"- 主动进行的连续的特征离散化
    - 比如m个样本的连续特征A有m个，先set在order，再两两组合求中间值，以该值点作为划分的待选点
    - **连续特征可以再后序特征划分中仍可继续参与计算**
- 缺失问题优化
    - 训练：用所有未缺失的样本，和之前一样，计算每个属性的信息增益，但是这里的信息增益需要乘以一个系数（未缺失样本/总样本）
    - 预测：直接跳过该节点，并将此样本划入所有子节点，划分后乘以系数计算，系数为不缺失部分的样本分布
- 采用预枝剪
",提问->答案
决策树,CART的连续特征改进点,知识点->提问
CART的连续特征改进点,"- 分类情况下的变量特征选择
    - 离散变量：二分划分
    - 连续变量：和C4.5一致，如果当前节点为连续属性，则该属性后面依旧可以参与子节点的产生选择过程
- 回归情况下，连续变量不再采取中间值划分，采用最小方差法
",提问->答案
决策树,CART分类树建立算法的具体流程,知识点->提问
CART分类树建立算法的具体流程,"我们的算法从根节点开始，用训练集递归的建立CART树。
- 对于当前节点的数据集为D，如果样本个数小于阈值或者没有特征，则返回决策子树，当前节点停止递归
- 计算样本集D的基尼系数，如果基尼系数小于阈值，则返回决策树子树，当前节点停止递归
- 计算当前节点现有的各个特征的各个特征值对数据集D的基尼系数
- 在计算出来的各个特征的各个特征值对数据集D的基尼系数中，选择基尼系数最小的特征A和对应的特征值a。根据这个最优特征和最优特征值，把数据集划分成两部分D1和D2，同时建立当前节点的左右节点，做节点的数据集D为D1，右节点的数据集D为D2
- 递归1～4
",提问->答案
决策树,CART回归树建立算法的具体流程,知识点->提问
CART回归树建立算法的具体流程,"其他部分都一样，在构建过程中遇到连续值的话，并不是利用C4.5中的中间值基尼系数的方式，而是采取了最小方差方法：
对于任意划分特征A，对应的任意划分点s两边划分成的数据集D1和D2，求出使D1和D2各自集合的均方差最小，同时D1和D2的均方差之和最小所对应的特征和特征值划分点，其中c1为D1的均值，c2为D2的均值：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g928jep1nkj309a00q745.jpg)
",提问->答案
决策树,CART输出结果的逻辑？,知识点->提问
CART输出结果的逻辑？,"- 回归树：利用最终叶子的均值或者中位数来作为输出结果
- 分类树：利用最终叶子的大概率的分类类别来作为输出结果
",提问->答案
决策树,CART树算法的剪枝过程是怎么样的？,知识点->提问
CART树算法的剪枝过程是怎么样的？,"目标函数为：𝐶𝛼(𝑇𝑡)=𝐶(𝑇𝑡)+𝛼|𝑇𝑡|，其中，α为正则化参数，这和线性回归的正则化一样。𝐶(𝑇𝑡)为训练数据的预测误差，分类树是用基尼系数度量，回归树是均方差度量。|𝑇𝑡|是子树T的叶子节点的数量
当𝛼=0时，即没有正则化，原始的生成的CART树即为最优子树。当𝛼=∞时，即正则化强度达到最大，此时由原始的生成的CART树的根节点组成的单节点树为最优子树。
当然，这是两种极端情况。一般来说，𝛼越大，则剪枝剪的越厉害，生成的最优子树相比原生决策树就越偏小。对于固定的𝛼，一定存在使损失函数𝐶𝛼(𝑇)最小的唯一子树。
由枝剪到根结点及不枝剪两种情况可得：𝛼=(𝐶(𝑇)−𝐶(𝑇𝑡))/(|𝑇𝑡|−1) , C(T)为根结点误差
- 计算出每个子树是否剪枝的阈值𝛼
- 选择阈值𝛼集合中的最小值
- 分别针对不同的最小值𝛼所对应的剪枝后的最优子树做交叉验证
",提问->答案
决策树,树形结构为何不需要归一化？,知识点->提问
树形结构为何不需要归一化？,"无论是分类树还是回归树，无论是连续变量还是离散变量，树模型一直想找的是最优切分点，不存在梯度导数等计算，数值缩放不影响分裂点位置，对树模型的结构不造成影响。
",提问->答案
决策树,决策树的优缺点,知识点->提问
决策树的优缺点,"优点：
- 缺失值不敏感，对特征的宽容程度高，可缺失可连续可离散
- 可解释性强
- 算法对数据没有强假设
- 可以解决线性及非线性问题
- 有特征选择等辅助功能
缺点：
- 处理关联性数据比较薄弱
- 正负量级有偏样本的样本效果较差
- 单棵树的拟合效果欠佳，容易过拟合",提问->答案
机器学习,支持向量机,主科目到一级科目
支持向量机,简单介绍SVM?,知识点->提问
简单介绍SVM?,"- 从分类平面，到求两类间的最大间隔![](https://tva1.sinaimg.cn/large/006y8mN6gy1g93fr1xbmyj3034018mwy.jpg)，到转化为求间隔分之一等优化问题：loss=min(1/2·||W||·||W||)  subject to：y(wx+b)>=1，其中||·||为2范数
- 然后就是优化问题的解决办法，首先是用拉格拉日乘子把约束优化转化为无约束优化，对各个变量求导令其为零，得到的式子带入拉格朗日式子从而转化为对偶问题
- 最后再利用SMO（序列最小优化）来解决这个对偶问题
",提问->答案
支持向量机,什么叫最优超平面？,知识点->提问
什么叫最优超平面？,"- 两类样本分别分割在该超平面的两侧
- 超平面两侧的点离超平面尽可能的远
",提问->答案
支持向量机,什么是支持向量？,知识点->提问
什么是支持向量？,"在求解的过程中，会发现只根据部分数据就可以确定分类器，这些数据称为支持向量。换句话说，就是超平面附近决定超平面位置的那些参与计算锁定平面位置的点
",提问->答案
支持向量机,SVM 和全部数据有关还是和局部数据有关?,知识点->提问
SVM 和全部数据有关还是和局部数据有关?,"局部
",提问->答案
支持向量机,加大训练数据量一定能提高SVM准确率吗？,知识点->提问
加大训练数据量一定能提高SVM准确率吗？,"支持向量的添加才会提高，否则无效
",提问->答案
支持向量机,如何解决多分类问题？,知识点->提问
如何解决多分类问题？,"对训练器进行组合。其中比较典型的有一对一，和一对多
",提问->答案
支持向量机,可以做回归吗，怎么做？,知识点->提问
可以做回归吗，怎么做？,"可以，把loss函数变为：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g93jrdscfrj309l011dfo.jpg)
",提问->答案
支持向量机,SVM 能解决哪些问题？,知识点->提问
SVM 能解决哪些问题？,"- 线性问题
    - 对于n为数据，找到n-1维的超平面将数据分成2份。通过增加一个约束条件： 要求这个超平面到每边最近数据点的距离是最大的
- 非线性问题
    -  SVM通过结合使用拉格朗日乘子法和KTT条件，以及核函数可以用smo算法解出非线性分类器
",提问->答案
支持向量机,介绍一下你知道的不同的SVM分类器？,知识点->提问
介绍一下你知道的不同的SVM分类器？,"- 硬SVM分类器（线性可分）：当训练数据可分时，通过间隔最大化，直接得到线性表分类器
- 软SVM分类器（线性可分）：当训练数据近似可分时，通过软间隔最大化，得到线性表分类器
- kernel SVM：当训练数据线性不可分时，通过核函数+软间隔的技巧，得到一个非线性的分类器
",提问->答案
支持向量机,什么叫软间隔？,知识点->提问
什么叫软间隔？,"软间隔允许部分样本点不满足约束条件： 1<y(wx+b)
",提问->答案
支持向量机,SVM 软间隔与硬间隔表达式,知识点->提问
SVM 软间隔与硬间隔表达式,"- 硬间隔： ![](https://tva1.sinaimg.cn/large/006y8mN6gy1g93ha4y4glj3094011a9w.jpg)
- 软间隔： ![](https://tva1.sinaimg.cn/large/006y8mN6gy1g93hae5o8lj30d701f0sn.jpg)
",提问->答案
支持向量机,SVM原问题和对偶问题的关系/解释原问题和对偶问题？,知识点->提问
SVM原问题和对偶问题的关系/解释原问题和对偶问题？,"- svm原问题是：求解![](https://tva1.sinaimg.cn/large/006y8mN6gy1g93fy1gm79j309b0173yd.jpg)
- svm对偶问题：求解![](https://tva1.sinaimg.cn/large/006y8mN6gy1g93g16v0syj309d01gglh.jpg)
    - 拉格朗日乘子法：求f的最小值时，有h=0的限制条件，那么就构造∑λh+f=Loss,作为新loss 
    - 引入松弛变量α的目的是构造满足拉格朗日条件的限制性条件
    - 在对原来的w求偏导之外再对新构造的乘子λ和松弛变量α求偏导数
",提问->答案
支持向量机,为什么要把原问题转换为对偶问题？,知识点->提问
为什么要把原问题转换为对偶问题？,"- 因为原问题是带有限制性条件的凸二次规划问题不方便求解，转换为对偶问题更加高效
- 引入了核函数
",提问->答案
支持向量机,为什么求解对偶问题更加高效？,知识点->提问
为什么求解对偶问题更加高效？,"- 原问题是要考虑限制性条件的最优，而对偶问题考虑的是类似分情况讨论的解析问题
- 因为只用求解alpha系数，而alpha系数只有支持向量才非0，其他全部为0
",提问->答案
支持向量机,alpha系数有多少个？,知识点->提问
alpha系数有多少个？,"样本点的个数
",提问->答案
支持向量机,KKT限制条件，KKT条件有哪些，完整描述,知识点->提问
KKT限制条件，KKT条件有哪些，完整描述,"- ![](https://tva1.sinaimg.cn/large/006y8mN6gy1g93g16v0syj309d01gglh.jpg)分别对原来的w求偏导之外再对新构造的乘子λ和松弛变量α求偏导数，并且都等于0后的联立方程便是不等式约束优化优化问题的 KKT(Karush-Kuhn-Tucker) 条件
- KKT乘子λ>=0
",提问->答案
支持向量机,引入拉格朗日的优化方法后的损失函数解释,知识点->提问
引入拉格朗日的优化方法后的损失函数解释,"- 原损失函数：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g93fy1gm79j309b0173yd.jpg)
- 优化后的损失函数：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g93gp9vlbjj30c401gt8m.jpg)
    - 要求KKT乘子λ>=0
",提问->答案
支持向量机,核函数的作用是啥,知识点->提问
核函数的作用是啥,"核函数能够将特征从低维空间映射到高维空间， 这个映射可以把低维空间中不可分的两类点变成高维线性可分的
",提问->答案
支持向量机,核函数的种类和应用场景,知识点->提问
核函数的种类和应用场景,"- 线性核函数：主要用于线性可分的情形。参数少，速度快。
- 多项式核函数：
- 高斯核函数：主要用于线性不可分的情形。参数多，分类结果非常依赖于参数。
- sigmoid 核函数：
- 拉普拉斯核函数：
",提问->答案
支持向量机,如何选择核函数,知识点->提问
如何选择核函数,"我用的比较多的是线性核函数和高斯核函数，线性用于特征多，线性问题的时候，高斯核函数用于特征少，非线性问题需要升维的时候
",提问->答案
支持向量机,常用核函数的定义？,知识点->提问
常用核函数的定义？,"在机器学习中常用的核函数，一般有这么几类，也就是LibSVM中自带的这几类：
1) 线性：K(v1,v2) = <v1,v2>
2) 多项式：K(v1,v2) = (r<v1,v2>+c)^n
3) Radial basis function：K(v1,v2) = exp(-r||v1-v2||^2)
4) Sigmoid：tanh(r<v1,v2>+c)
",提问->答案
支持向量机,核函数需要满足什么条件？,知识点->提问
核函数需要满足什么条件？,"Mercer定理：核函数矩阵是对称半正定的
",提问->答案
支持向量机,为什么在数据量大的情况下常常用lr代替核SVM？,知识点->提问
为什么在数据量大的情况下常常用lr代替核SVM？,"- 计算非线性分类问题下，需要利用到SMO方法求解，该方法复杂度高O(n^2)
- 在使用核函数的时候参数假设全靠试，时间成本过高
",提问->答案
支持向量机,高斯核可以升到多少维？为什么,知识点->提问
高斯核可以升到多少维？为什么,"无穷维
e的n次方的泰勒展开得到了一个无穷维度的映射
",提问->答案
支持向量机,SVM和逻辑斯特回归对同一样本A进行训练，如果某类中增加一些数据点，那么原来的决策边界分别会怎么变化？,知识点->提问
SVM和逻辑斯特回归对同一样本A进行训练，如果某类中增加一些数据点，那么原来的决策边界分别会怎么变化？,"如果在svm容忍范围内或者在svm的margin外，则不受影响；否则决策边界会发生调整
",提问->答案
支持向量机,"各种机器学习的应用场景分别是什么？例如，k近邻,贝叶斯，决策树，svm，逻辑斯蒂回归",知识点->提问
"各种机器学习的应用场景分别是什么？例如，k近邻,贝叶斯，决策树，svm，逻辑斯蒂回归","- 线性问题：
    - 线性：
        - 逻辑回归，线性svm
    - 非线性：
        - 贝叶斯，决策树，核svm，DNN
- 数据问题：
    - 数据量大特征多：
        - 逻辑回归
        - 决策树算法
    - 数据量少特征少：
        - 核svm
- 缺失值多：
    - 树模型
",提问->答案
支持向量机,Linear SVM 和 LR 有什么异同？,知识点->提问
Linear SVM 和 LR 有什么异同？,"- LR是参数模型，SVM为非参数模型。
- LR采用的损失函数为logisticalloss，而SVM采用的是hingeloss。
- 在学习分类器的时候，SVM只考虑与分类最相关的少数支持向量点。
- LR的模型相对简单，在进行大规模线性分类时比较方便。",提问->答案
机器学习,线性回归,主科目到一级科目
线性回归,损失函数是啥,知识点->提问
损失函数是啥,"mse,最小均方误差:![](https://tva1.sinaimg.cn/large/006y8mN6gy1g933uf4aimj305u01fa9w.jpg)
",提问->答案
线性回归,最小二乘/梯度下降手推,知识点->提问
最小二乘/梯度下降手推,"- 最小二乘
    - 损失函数：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g93458dklvj306l011t8j.jpg)
    - 求导可得：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g93489pnxxj3052014jr7.jpg)
        - 使右侧为0可得：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g934a6q83tj304300kdfm.jpg) 
        - 如果X点乘X的转置可逆则有唯一解，否则无法如此求解
- 梯度下降
    - 损失函数：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g933uf4aimj305u01fa9w.jpg)
    - 求导可得梯度：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g934mwtnodj307401fdfp.jpg)
    
",提问->答案
线性回归,介绍一下岭回归,知识点->提问
介绍一下岭回归,"加上l2的线性回归：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g934px37g4j305b017glf.jpg)
在用最小二乘推导的过程和上面一样，最后在结果上进行了平滑，保证有解：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g934t64beij304w00kmwy.jpg)
",提问->答案
线性回归,什么时候使用岭回归？,知识点->提问
什么时候使用岭回归？,"样本数少，或者样本重复程度高
",提问->答案
线性回归,什么时候用Lasso回归？,知识点->提问
什么时候用Lasso回归？,特征过多，稀疏线性关系，目的为了在一堆特征里面找出主要的特征,提问->答案
机器学习,聚类,主科目到一级科目
聚类,请问从EM角度理解kmeans?,知识点->提问
请问从EM角度理解kmeans?,"- k-means是两个步骤交替进行，可以分别看成E步和M步
- M步中将每类的中心更新为分给该类各点的均值，可以认为是在「各类分布均为单位方差的高斯分布」的假设下，最大化似然值；
- E步中将每个点分给中心距它最近的类（硬分配），可以看成是EM算法中E步（软分配）的近似
",提问->答案
聚类,为什么kmeans一定会收敛?,知识点->提问
为什么kmeans一定会收敛?,"M步中的最大化似然值，更新参数依赖的是MSE，MSE至少存在局部最优解，必然收敛
",提问->答案
聚类,kmeans初始点除了随机选取之外的方法？,知识点->提问
kmeans初始点除了随机选取之外的方法？,先层次聚类，再在不同层次上选取初始点进行kmeans聚类,提问->答案
机器学习,贝叶斯,主科目到一级科目
贝叶斯,解释一下朴素贝叶斯中考虑到的条件独立假设,知识点->提问
解释一下朴素贝叶斯中考虑到的条件独立假设,"![](https://tva1.sinaimg.cn/large/006y8mN6gy1g92b15s6daj308x00rq2s.jpg)
",提问->答案
贝叶斯,讲一讲你眼中的贝叶斯公式和朴素贝叶斯分类差别,知识点->提问
讲一讲你眼中的贝叶斯公式和朴素贝叶斯分类差别,"贝叶斯公式是完整的数学公式P(A/B) = P(A)P(B/A)/P(B)
朴素贝叶斯 = 贝叶斯公式 + 条件独立假设，在实际使用过程中，朴素贝叶斯完全只需要关注P(A,B)=P(A)P(B/A)即可
",提问->答案
贝叶斯,朴素贝叶斯中出现的常见模型有哪些,知识点->提问
朴素贝叶斯中出现的常见模型有哪些,"- 多项式：多项式模型适用于离散特征情况，在文本领域应用广泛， 其基本思想是：我们将重复的词语视为其出现多次
    - 因为统计次数，所以会出现0次可能，所以实际中进行了平滑操作
        - 先验平滑：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g92bmactdlj303o0133yb.jpg)
        - 后验平滑：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g92borlh0nj3043018q2r.jpg)
        - 两者形式非常像，区别就在先验平滑分母考虑的是平滑类别y个数，后验平滑分母考虑的是平滑特征对应特征x可选的个数
- 高斯：高斯模型适合连续特征情况，[高斯公式](https://github.com/sladesha/Reflection_Summary/blob/master/数学/概率密度分布/概率密度分布.md#L1)
    - 高斯模型假设在对应类别下的每一维特征都服从高斯分布（正态分布）
- 伯努利：伯努利模型适用于离散特征情况，它将重复的词语都视为只出现一次
",提问->答案
贝叶斯,出现估计概率值为 0 怎么处理,知识点->提问
出现估计概率值为 0 怎么处理,"拉普拉斯平滑
",提问->答案
贝叶斯,朴素贝叶斯的优缺点？,知识点->提问
朴素贝叶斯的优缺点？,"- 优点： 对小规模数据表现很好，适合多分类任务，适合增量式训练
- 缺点：对输入数据的表达形式很敏感（离散、连续，值极大极小之类的）
",提问->答案
贝叶斯,朴素贝叶斯与 LR 区别？,知识点->提问
朴素贝叶斯与 LR 区别？,"- 生成模型和判别模型
- 条件独立要求
- 小数据集和大数据集
",提问->答案
机器学习,逻辑回归,主科目到一级科目
逻辑回归,logistic分布函数和密度函数，手绘大概的图像,知识点->提问
logistic分布函数和密度函数，手绘大概的图像,"- 分布函数：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g93b9whhwuj306z01amwz.jpg)
- 密度函数：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g93bdnikzbj306e01pjr8.jpg)
- 其中，μ表示位置参数，γ为形状参数。**logistic分布比正太分布有更长的尾部且波峰更尖锐**
",提问->答案
逻辑回归,LR推导，基础5连问,知识点->提问
LR推导，基础5连问,"- 基础公式
    - f(x) = wx + b
    - y = sigmoid(f(x))
    - 可以看作是一次线性拟合+一次sigmoid的非线性变化
- 伯努利过程
    - 对于lr来说事情只有发生和不发生两种可能，对于已知样本来说，满足伯努利的概率假设：
        - p(y=1/x,θ) = h(θ,x)
        - p(y=0/x,θ) = 1-h(θ,x)
        - p(y/x,θ) = h(θ,x)^y · (1-h(θ,x))^(1-y) 
            - 第i个样本正确预测的概率如上可得
    - 几率odds
        - 数据特征下属于正例及反例的比值
        - ln(y/(1-y))
- 极大似然
    - 第i个样本正确预测的概率如上可得每条样本的情况下
    - 综合全部样本发生的概率都要最大的话，采取极大似然连乘可得：
        - ∏(h(θ,x)^y · (1-h(θ,x))^(1-y))
- 损失函数
    - 通常会对极大似然取对数，得到损失函数，方便计算
        - ∑ylogh(θ,x)+(1-y)log(1-h(θ,x))最大
        - 及-1/m · ∑ylogh(θ,x)+(1-y)log(1-h(θ,x))最小    
- 梯度下降
    - 损失函数求偏导，更新θ
    - θj+1 = θj - ∆·∂Loss/∂θ =θj - ∆·1/m·∑x·(h-y)
        - ∆为学习率
",提问->答案
逻辑回归,梯度下降如何并行化？,知识点->提问
梯度下降如何并行化？,"- 首先需要理解梯度下降的更新公式：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g93cn8ok1fj307a01ft8k.jpg)
    - ∑处的并行，不同样本在不同机器上进行计算，计算完再进行合并
    - 同一条样本不同特征维度进行拆分，![](https://tva1.sinaimg.cn/large/006y8mN6gy1g93cnjne2dj303200ia9u.jpg)处并行，把![](https://tva1.sinaimg.cn/large/006y8mN6gy1g93csl2l0pj301400ia9t.jpg)内的xi和Wi拆分成块分别计算后合并，再把外层![](https://tva1.sinaimg.cn/large/006y8mN6gy1g93cnjne2dj303200ia9u.jpg)同样拆分成若干块进行计算
",提问->答案
逻辑回归,LR明明是分类模型为什么叫回归？,知识点->提问
LR明明是分类模型为什么叫回归？,"观测样本中该特征在正负类中出现概率的比值满足线性条件，用的是线性拟合比率值，所以叫回归
",提问->答案
逻辑回归,为什么LR可以用来做CTR预估？,知识点->提问
为什么LR可以用来做CTR预估？,"1. 点击行为为正向，未点击行为为负向，ctr需要得到点击行为的概率，lr可以产出正向行为的概率，完美match
2. 实现简单，方便并行，计算迭代速度很快
3. 可解释性强，可结合正则化等优化方法
",提问->答案
逻辑回归,满足什么样条件的数据用LR最好？,知识点->提问
满足什么样条件的数据用LR最好？,"- 特征之间尽可能独立
    - 不独立所以我们把不独立的特征交叉了
        - 还记得FM的思路？
- 离散特征
    - 连续特征通常没有特别含义，31岁和32岁差在哪？
    - 离散特征方便交叉考虑
    - 在异常值处理上也更加方便
    - 使的lr满足分布假设
        - 什么分布假设？
- 在某种确定分类上的特征分布满足高斯分布
    - ![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8wh7dd6bkj310w034gmb.jpg)
    - C1和C2为正负类，观测样本中该特征在正负类中出现概率的比值满足线性条件的前提就是P服从正太分布
        - 实际中不满足的很多，不满足我们通常就离散化，oneHotEncode
此处就用到了全概率公式推导，有可能会回到[写出全概率公式&贝叶斯公式](https://github.com/sladesha/Reflection_Summary/blob/master/基础概念/先验概率和后验概率/先验概率和后验概率.md#L96)的问题中
",提问->答案
逻辑回归,LR为什么使用sigmoid函数作为激活函数？其他函数不行吗？,知识点->提问
LR为什么使用sigmoid函数作为激活函数？其他函数不行吗？,"- 思路一：lr的前提假设就是几率odds满足线性回归，odds又为正负样本的log比，参见`满足什么样条件的数据用LR最好？`中第三点公式的展开
- 思路二：Exponential model 的形式是这样的：假设第i个特征对第k类的贡献是![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8wmq11x6zj300s00f3y9.jpg)，则数据点![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8wmqpotqfj302700imwx.jpg)属于第k类的概率正比于![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8wmrp4qv4j305b00i0sj.jpg)。
    - 二分类上：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8wmsc1vfkj30jm036wet.jpg)
    - 化简即为sigmoid
    - 以上思路源自：PRML（Pattern Recognition and Machine Learning）
- 思路三：glm有满足指数族的性质，而作为lr作为y满足伯努利分布的的线性条件，伯努利分布的指数族形式就是sigmoid，或者也叫连接函数
",提问->答案
逻辑回归,利用几率odds的意义在哪？,知识点->提问
利用几率odds的意义在哪？,"- 直接对分类模型进行建模，前提假设为非常弱的指定类别上自变量的条件分布满足高斯
- 由预测0/1的类别扩展到了预测0-1的概率值
- 任意阶可导的优秀性质    
",提问->答案
逻辑回归,Sigmoid函数到底起了什么作用？,知识点->提问
Sigmoid函数到底起了什么作用？,"- 数据规约：\[0,1]
- 线性回归在全量数据上的敏感度一致，sigmoid在分界点0.5处更加敏感    
- sigmoid在逻辑回归的参数更新中也不起影响，避免了更新速度不稳定的问题
",提问->答案
逻辑回归,LR为什么要使用极大似然函数，交互熵作为损失函数？那为什么不选平方损失函数的呢,知识点->提问
LR为什么要使用极大似然函数，交互熵作为损失函数？那为什么不选平方损失函数的呢,"- 更新速度只与真实的x和y相关，与激活函数无关，更新平稳
    - 比如mse就会导致更新速度与激活函数sigmoid挂钩，而sigmoid函数在定义域内的梯度大小都比较小(0.25>x)，不利于快速更新
    - mse下的lr损失函数非凸，难以得到解析解
",提问->答案
逻辑回归,LR中若标签为+1和-1，损失函数如何推导？,知识点->提问
